Commodity Code,Commodity Name,Substance,"Unit, purchaser price",Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins
5415,Computer systems design and related services,carbon dioxide,"kg/2018 USD, purchaser price",0.06,0,0.06
5415,Computer systems design and related services,methane,"kg/2018 USD, purchaser price",0,0,0
5415,Computer systems design and related services,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
5415,Computer systems design and related services,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004
55,Management of companies and enterprises,carbon dioxide,"kg/2018 USD, purchaser price",0.102,0,0.102
55,Management of companies and enterprises,methane,"kg/2018 USD, purchaser price",0,0,0
55,Management of companies and enterprises,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
55,Management of companies and enterprises,other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0,0.002
561,Administrative and support services,carbon dioxide,"kg/2018 USD, purchaser price",0.088,0,0.088
561,Administrative and support services,methane,"kg/2018 USD, purchaser price",0.001,0,0.001
561,Administrative and support services,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
561,Administrative and support services,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004
562,Waste management and remediation services,carbon dioxide,"kg/2018 USD, purchaser price",0.274,0,0.274
562,Waste management and remediation services,methane,"kg/2018 USD, purchaser price",0.044,0,0.044
562,Waste management and remediation services,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
562,Waste management and remediation services,other GHGs,"kg CO2e/2018 USD, purchaser price",0.013,0,0.013
61,Educational services,carbon dioxide,"kg/2018 USD, purchaser price",0.176,0,0.176
61,Educational services,methane,"kg/2018 USD, purchaser price",0.001,0,0.001
61,Educational services,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
61,Educational services,other GHGs,"kg CO2e/2018 USD, purchaser price",0.003,0,0.003
621,Ambulatory health care services,carbon dioxide,"kg/2018 USD, purchaser price",0.088,0,0.088
621,Ambulatory health care services,methane,"kg/2018 USD, purchaser price",0,0,0
621,Ambulatory health care services,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
621,Ambulatory health care services,other GHGs,"kg CO2e/2018 USD, purchaser price",0.003,0,0.003
622,"Hospitals|carbon dioxide|kg/2018 USD, purchaser price|0.144",,,,0,0.144
622,"Hospitals|methane|kg/2018 USD, purchaser price|0.001",,,,0,0.001
622,"Hospitals|nitrous oxide|kg/2018 USD, purchaser price|0",,,,0,0
622,"Hospitals|other GHGs|kg CO2e/2018 USD, purchaser price|0.003",,,,0,0.003
623,"Nursing and residential care facilities|carbon dioxide|kg/2018 USD, purchaser price|0.14",,,,0,0.14
623,"Nursing and residential care facilities|methane|kg/2018 USD, purchaser price|0.001",,,,0,0.001
